Case	Converged	Monotone	Algo12Diff	LastTR	ObjSpeed	ConSpeed
C_XR3	Both	Mono	Identical	Small	Similar	Similar
C_XR4	Both	Mono	Identical	Small	Similar	Similar
C_XRF0	Both	Mono	Identical	Small	Similar	Similar
C_XRF1	Both	Mono	Identical	Small	Similar	Similar
C_XRF2	Both	Mono	Identical	Small	Similar	Similar
C_XRF3	Both	Mono	Identical	Small	Similar	Similar
C_XRF4	Both	Mono	Identical	Small	Similar	Similar
C_XRIF0	Both	Mono	VeryDiff	Small	Alg1Faster	Alg1Faster
C_XRIF1	Both	Mono	VeryDiff	Small	Alg1Faster	Alg2Faster
C_XRIF2	Both	Mono	Different	Small	Alg1Faster	Alg2Faster
C_XRIF3	Both	Mono	Different	Small	Alg1Faster	Alg1Faster
C_XRIF4	Both	Mono	Different	Small	Alg1Faster	Alg1Faster
OC_U0	Both	Osc	Identical	Small	Similar	Similar
OC_U1	Both	Osc	Likewise	Small	Alg2Faster	Alg1Faster
OC_U2	Both	Osc	Identical	Small	Similar	Similar
OC_U3	Both	Osc	Different	Small	Alg2Faster	Alg2Faster
OC_U4	Both	Osc	Identical	Small	Similar	Similar
OC_U5	Both	Osc	Identical	Small	Similar	Similar
OC_U6	Both	Osc	Identical	Small	Similar	Similar
OC_U7	Both	Osc	Identical	Small	Similar	Similar
OC_R0	Both	Osc	Identical	Small	Similar	Similar
OC_R1	Both	Mono	Identical	Small	Similar	Similar
OC_R2	Both	Mono	Identical	Small	Similar	Similar
OC_R3	Both	Mono	Identical	Small	Alg2Faster	Alg2Faster
OC_R4	Both	Mono	Likewise	Small	Alg2Faster	Alg2Faster
OC_P0	Both	Osc	Identical	Small	Similar	Similar
OC_P1	Both	Osc	Identical	Small	Similar	Similar
OC_P2	Both	Osc	Identical	Small	Similar	Similar
OC_P3	Both	Osc	Identical	Small	Similar	Similar
OC_P4	Fail	Osc	VeryDiff	Small	Alg2Faster	Alg1Faster
OC_P5	Fail	Osc	VeryDiff	Small	Alg2Faster	Alg1Faster
OC_PF0	Both	Osc	Identical	Small	Similar	Similar
OC_PF1	Both	Osc	Identical	Small	Similar	Similar
OC_PF2	Both	Osc	Identical	Small	Alg2Faster	Alg1Faster
OC_PF3	Both	Osc	Different	Small	Alg2Faster	Alg2Faster
OC_PF4	Fail	Osc	Different	Small	Alg2Faster	Alg2Faster
